filename,paragraph,sentence,pairs
N5085FM-00019.txt,7,1,[('松田', '日野'), ('笠井', '日野'), ('松田', '笠井')]
N5085FM-00019.txt,11,1,[('安藤', '笠井'), ('安藤', '日々木'), ('安藤', '日野'), ('笠井', '日野'), ('日々木', '日野'), ('笠井', '日々木')]
N5085FM-00019.txt,13,1,[('松田', '日々木'), ('笠井', '日々木'), ('松田', '笠井')]
N5085FM-00019.txt,14,1,[('松田', '日野'), ('松田', '日々木'), ('笠井', '日野'), ('松田', '笠井'), ('日々木', '日野'), ('笠井', '日々木')]
N5085FM-00019.txt,15,1,[('笠井', '日野')]
N5085FM-00019.txt,18,1,[('渡瀬', '松田'), ('三島', '渡瀬'), ('三島', '須賀'), ('松田', '須賀'), ('渡瀬', '須賀'), ('三島', '松田')]
N5085FM-00019.txt,22,1,[('松田', '田辺')]
N5085FM-00019.txt,27,1,[('松田', '笠井')]
N5085FM-00019.txt,28,1,[('松田', '日野')]
N5085FM-00020.txt,1,1,[('麓', '日野')]
N5085FM-00021.txt,3,1,[('森尾', '伊東')]
N5085FM-00021.txt,6,1,[('日々木', '日野')]
N5085FM-00021.txt,7,1,[('日々木', '日野')]
N5085FM-00021.txt,8,1,[('高木', '日野')]
N5085FM-00021.txt,19,1,[('高木', '日野'), ('高木', '日々木'), ('日々木', '日野')]
N5085FM-00021.txt,20,1,[('日々木', '日野')]
N5085FM-00021.txt,21,1,[('日々木', '日野')]
N5085FM-00021.txt,24,1,[('高木', '日野'), ('高木', '日々木'), ('日々木', '日野')]
N5085FM-00021.txt,26,1,[('日々木', '日野')]
N5085FM-00021.txt,27,1,[('日々木', '日野')]
N5085FM-00021.txt,28,1,[('日々木', '日野')]
N5085FM-00021.txt,31,1,[('日々木', '日野')]
N5085FM-00022.txt,3,1,[('高木', '日々木')]
N5085FM-00022.txt,5,1,[('高木', '日々木')]
N5085FM-00022.txt,6,5,[('高木', '日々木')]
N5085FM-00022.txt,12,1,[('高木', '日々木')]
N5085FM-00022.txt,14,1,[('高木', '日々木')]
N5085FM-00022.txt,20,4,[('高木', '日々木')]
N5085FM-00022.txt,22,7,[('日野', '高木'), ('高木', '日々木'), ('日野', '日々木')]
N5085FM-00022.txt,24,3,[('高木', '日々木')]
N5085FM-00022.txt,25,3,[('高木', '日々木')]
N5085FM-00022.txt,31,7,[('高木', '日々木')]
N5085FM-00022.txt,36,2,[('高木', '日々木')]
N5085FM-00022.txt,37,5,[('高木', '日々木')]
N5085FM-00022.txt,38,4,[('高木', '日々木')]
N5085FM-00022.txt,40,5,[('高木', '日々木')]
N5085FM-00022.txt,41,3,[('高木', '日々木')]
N5085FM-00023.txt,2,5,[('華菜', '日野')]
N5085FM-00023.txt,9,9,[('安藤', '日野'), ('高木', '日野'), ('安藤', '高木')]
N5085FM-00023.txt,13,3,[('高木', '日野')]
N5085FM-00023.txt,20,5,[('日々木', '日野')]
N5085FM-00023.txt,37,2,[('日野', '日々木')]
N5085FM-00023.txt,44,1,[('日々木', '日野')]
N5085FM-00024.txt,4,3,[('千草', '松田'), ('高木', '渡瀬'), ('松田', '藤原'), ('日々木', '渡瀬'), ('日々木', '高木'), ('千草', '藤原'), ('松田', '渡瀬'), ('藤原', '高木'), ('松田', '日々木'), ('千草', '渡瀬'), ('千草', '高木'), ('千草', '日々木'), ('松田', '高木'), ('藤原', '渡瀬'), ('日々木', '藤原')]
N5085FM-00024.txt,5,5,[('松田', '日々木')]
N5085FM-00024.txt,6,4,[('高木', '日々木')]
N5085FM-00024.txt,7,6,[('松田', '日々木'), ('松田', '千草'), ('千草', '日々木')]
N5085FM-00024.txt,8,5,[('三島', '渡瀬')]
N5085FM-00024.txt,9,4,[('渡瀬', '松田'), ('三島', '渡瀬'), ('松田', '笠井'), ('渡瀬', '笠井'), ('三島', '松田'), ('三島', '笠井')]
N5085FM-00024.txt,11,3,[('渡瀬', '松田')]
N5085FM-00024.txt,15,5,[('日々木', '安藤'), ('千草', '松田'), ('日々木', '高木'), ('松田', '日々木'), ('千草', '高木'), ('千草', '日々木'), ('松田', '安藤'), ('松田', '高木'), ('千草', '安藤'), ('高木', '安藤')]
N5085FM-00024.txt,18,3,[('松田', '千草')]
N5085FM-00024.txt,28,3,[('松田', '日々木')]
N5085FM-00024.txt,30,1,[('千草', '日野')]
N5085FM-00025.txt,5,5,[('渡瀬', '松田'), ('須賀', '塚本'), ('松田', '須賀'), ('松田', '塚本'), ('渡瀬', '須賀'), ('渡瀬', '塚本')]
N5085FM-00025.txt,6,2,[('塚本', '日野'), ('麓', '塚本'), ('麓', '日野')]
N5085FM-00025.txt,7,2,[('千草', '日野')]
N5085FM-00025.txt,8,3,[('塚本', '日野')]
N5085FM-00025.txt,9,1,[('麓', '日野')]
N5085FM-00025.txt,11,5,[('麓', '日野')]
N5085FM-00025.txt,12,3,[('麓', '日野'), ('日々木', '日野'), ('麓', '日々木')]
N5085FM-00025.txt,13,2,[('塚本', '日野'), ('麓', '塚本'), ('麓', '日野')]
N5085FM-00025.txt,16,2,[('塚本', '日々木'), ('麓', '塚本'), ('麓', '日々木')]
N5085FM-00025.txt,17,1,[('松田', '笠井')]
N5085FM-00025.txt,18,2,[('松田', '笠井')]
N5085FM-00025.txt,22,5,[('松田', '日野')]
N5085FM-00025.txt,23,1,[('松田', '日野')]
N5085FM-00025.txt,24,4,[('松田', '笠井')]
N5085FM-00025.txt,29,3,[('藤原', '日野')]
N5085FM-00026.txt,3,3,[('安藤', '日野')]
N5085FM-00026.txt,4,10,[('安藤', '華菜'), ('日野', '安藤'), ('日野', '華菜')]
N5085FM-00026.txt,5,5,[('日野', '高木'), ('千草', '松田'), ('三島', '渡瀬'), ('高木', '渡瀬'), ('千草', '日野'), ('松田', '渡瀬'), ('日野', '渡瀬'), ('三島', '千草'), ('千草', '高木'), ('千草', '渡瀬'), ('松田', '高木'), ('日野', '松田'), ('三島', '日野'), ('三島', '松田'), ('三島', '高木')]
N5085FM-00026.txt,7,4,[('安藤', '日野')]
N5085FM-00026.txt,8,3,[('安藤', '日野')]
N5085FM-00026.txt,12,3,[('渡瀬', '松田')]
N5085FM-00026.txt,13,6,[('藤原', '千草'), ('藤原', '日野'), ('千草', '日野'), ('安藤', '日野'), ('安藤', '千草'), ('藤原', '安藤')]
N5085FM-00027.txt,1,1,[('華菜', '日々木')]
N5085FM-00027.txt,2,5,[('日野', '日々木')]
N5085FM-00027.txt,6,3,[('日々木', '日野')]
N5085FM-00027.txt,13,2,[('日々木', '日野')]
N5085FM-00027.txt,19,6,[('日々木', '日野')]
N5085FM-00027.txt,20,2,[('日々木', '日野')]
N5085FM-00027.txt,23,8,[('日野', '日々木')]
N5085FM-00027.txt,24,3,[('日々木', '日野')]
N5085FM-00027.txt,25,5,[('日々木', '日野')]
N5085FM-00028.txt,2,7,[('森尾', '日々木'), ('伊東', '日々木'), ('森尾', '伊東')]
N5085FM-00028.txt,4,8,[('森尾', '伊東')]
N5085FM-00028.txt,25,2,[('藤原', '松田')]
N5085FM-00028.txt,28,3,[('藤原', '森尾'), ('藤原', '伊東'), ('森尾', '伊東')]
N5085FM-00028.txt,31,3,[('藤原', '小野田')]
N5085FM-00028.txt,32,1,[('高木', '日々木')]
N5085FM-00029.txt,2,8,[('安藤', '日野'), ('高木', '日野'), ('安藤', '高木')]
N5085FM-00029.txt,3,3,[('華菜', '日野')]
N5085FM-00029.txt,6,1,[('日々木', '日野')]
N5085FM-00029.txt,8,2,[('華菜', '日野')]
N5085FM-00029.txt,9,6,[('安藤', '華菜'), ('華菜', '日野'), ('安藤', '日野')]
N5085FM-00029.txt,11,3,[('安藤', '日野')]
N5085FM-00029.txt,12,3,[('安藤', '日野')]
N5085FM-00029.txt,14,5,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00030.txt,1,1,[('日々木', '日野')]
N5085FM-00030.txt,6,7,[('安藤', '日々木')]
N5085FM-00030.txt,45,1,[('日々木', '日野')]
N5085FM-00031.txt,1,1,[('陽子', '日野')]
N5085FM-00031.txt,2,3,[('日々木', '日野')]
N5085FM-00031.txt,5,3,[('日々木', '日野')]
N5085FM-00031.txt,6,5,[('日野', '日々木')]
N5085FM-00031.txt,8,5,[('日々木', '日野')]
N5085FM-00031.txt,15,3,[('日野', '日々木')]
N5085FM-00031.txt,24,1,[('日々木', '日野')]
N5085FM-00031.txt,25,1,[('日々木', '日野')]
N5085FM-00031.txt,26,1,[('日々木', '日野')]
N5085FM-00033.txt,8,1,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00033.txt,12,9,[('日野', '安藤'), ('安藤', '日々木'), ('日野', '日々木')]
N5085FM-00033.txt,13,5,[('日野', '安藤'), ('安藤', '日々木'), ('日野', '日々木')]
N5085FM-00033.txt,16,1,[('日々木', '日野')]
N5085FM-00033.txt,17,3,[('日々木', '日野')]
